code	sum_g:/GHG_Landuse/Beijing_city/lur_zonal_county_11_28_2010f\factor_analysis_population_maps\function_zone_f_class_3.tif	normalization_g:/GHG_Landuse/Beijing_city/lur_zonal_county_11_28_2010f\factor_analysis_population_maps\public_transport_point_Point_f_radius_1000.tif	normalization_g:/GHG_Landuse/Beijing_city/lur_zonal_county_11_28_2010f\factor_analysis_population_maps\public_transport_point_Point_f_radius_10000.tif	normalization_g:/GHG_Landuse/Beijing_city/lur_zonal_county_11_28_2010f\factor_analysis_population_maps\road_radius_5000.tif	人口
2010东城区	0	22236.45647	18433.04148	9963.838284	91.9563849
2010丰台区	14	28402.13678	37792.11742	27539.71883	211.2876236
2010大兴区	0	12106.12459	11282.82334	27810.44757	136.5573618
2010密云县	10378	1858.508205	628.0417361	3965.777066	46.78381478
2010平谷区	9576	507.0921283	222.2308461	3913.160403	41.60986578
2010延庆县	9097	3706.127929	1269.711898	4175.807489	31.75333389
2010怀柔区	8094	4598.050096	1738.944353	4272.012597	37.30130932
2010房山区	9760	6233.188885	3437.093558	14310.50772	94.51514987
2010昌平区	7998	18340.86897	16483.07246	23643.02336	166.1062505
2010朝阳区	0	52144.00356	70571.57656	54318.11598	354.6335802
2010海淀区	5	72420.84451	70027.32579	37046.22693	328.1779372
2010石景山区	67	10696.84401	8459.917767	7355.98828	61.62913309
2010西城区	0	28636.39467	23213.87381	11093.94848	124.3735432
2010通州区	0	3742.837666	5233.897697	24251.88282	118.4656461
2010门头沟区	5312	3751.237351	2711.178017	3329.092693	29.05742256
2010顺义区	29	9030.284177	6906.153268	21421.4515	87.69164325
2015东城区	0	26827.09097	21695.46775	10711.57378	90.5
2015丰台区	0	35788.96224	47543.6424	33145.63762	232.4
2015大兴区	0	16537.57675	16095.71703	39055.32868	156.2
2015密云县	16334	2663.914265	1166.756872	6610.426193	47.9
2015平谷区	11307	701.8988296	338.1687161	5202.22725	42.3
2015延庆县	11781	4973.315224	1872.277899	5927.866851	31.4
2015怀柔区	13128	6808.156045	3198.059549	7203.580723	38.4
2015房山区	17350	8420.535077	6239.159634	22157.07044	104.6
2015昌平区	11573	24869.95244	22728.88388	29964.2864	196.3
2015朝阳区	0	63176.14671	85358.37971	60263.10248	395.5
2015海淀区	0	89425.13715	84626.31851	41662.6852	369.4
2015石景山区	0	13035.58553	10171.57517	8103.914343	65.2
2015西城区	0	34958.01306	27366.86017	11933.25597	129.8
2015通州区	0	5433.244655	8023.824965	35443.17228	137.8
2015门头沟区	8595	5756.995959	4439.092709	5241.182007	30.8
2015顺义区	0	11150.4751	9662.815038	27901.68978	102
2005东城区	0	21325.94501	17871.02481	9863.675746	86.15852703
2005丰台区	0	27655.34687	36779.07406	27028.4511	156.9531209
2005大兴区	0	11423.8785	10495.37669	25495.58911	88.26730217
2005密云县	10328	1777.087529	601.5823565	3882.759356	43.78218856
2005平谷区	9136	476.2558792	204.4473409	3675.213982	41.17132411
2005延庆县	8612	3495.127679	1182.840665	3917.981955	27.81574824
2005怀柔区	8020	4413.046024	1665.863049	4190.851805	31.93288065
2005房山区	8682	5792.905731	3097.721462	13015.07911	86.76103421
2005昌平区	7730	16764.38588	14811.93031	21757.99138	78.2255158
2005朝阳区	0	49050.18049	66610.43189	51580.83116	280.7683468
2005海淀区	0	68404.00268	66424.40742	35695.00817	259.0780883
2005石景山区	0	10265.59557	8200.798631	7250.473235	52.41812484
2005西城区	0	27789.54546	22542.67309	10988.65301	119.4972578
2005通州区	0	3519.283425	4700.885678	22440.11331	86.56019849
2005门头沟区	5068	3444.430435	2531.650753	3180.92756	27.71533037
2005顺义区	0	8475.982841	6352.291789	20109.40003	70.89501175
